[336396.664622] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336415.848577] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[336435.880905] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[336436.598668] nvme_tcp: tx_crc    3                0                0                0                0                0
[336436.610839] nvme_tcp: tx_crc    4                0                0                0                0                0
[336436.623017] nvme_tcp: tx_crc    5                0                0                0                0                0
[336436.635195] nvme_tcp: tx_crc    6                0                0                0                0                0
[336436.647377] nvme_tcp: tx_crc    7                0                0                0                0                0
[336436.659555] nvme_tcp: tx_crc    8                0                0                0                0                0
[336436.671733] nvme_tcp: tx_crc    9                0                0                0                0                0
[336436.683911] nvme_tcp: tx_crc   10                0                0                0                0                0
[336436.696089] nvme_tcp: tx_crc   11                0                0                0                0                0
[336436.708268] nvme_tcp: tx_crc   12                0                0                0                0                0
[336436.720447] nvme_tcp: tx_crc   13                0                0                0                0                0
[336436.732625] nvme_tcp: tx_crc   14                0                0                0                0                0
[336436.744795] nvme_tcp: tx_crc   15                0                0                0                0                0
[336436.756974] nvme_tcp: tx_crc   16                0                0                0                0                0
[336436.769152] nvme_tcp: tx_crc   17                0                0                0                0                0
[336436.781330] nvme_tcp: tx_crc   18                0                0                0                0                0
[336436.793500] nvme_tcp: tx_crc   19                0                0                0                0                0
[336436.805679] nvme_tcp: tx_crc   20                0                0                0                0                0
[336436.817857] nvme_tcp: tx_crc   21                0                0                0                0                0
[336436.830035] nvme_tcp: tx_crc   22                0                0                0                0                0
[336436.842213] nvme_tcp: tx_crc   23                0                0                0                0                0
[336436.854392] nvme_tcp: tx_crc   24                0                0                0                0                0
[336436.876755] nvme_tcp: tx_crc   25                0                0                0                0                0
[336436.888933] nvme_tcp: tx_crc   26                0                0                0                0                0
[336436.901111] nvme_tcp: tx_crc   27                0                0                0                0                0
[336436.913289] nvme_tcp: tracing_off done
[336471.765672] tee (8126): drop_caches: 3
[336471.984889] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336435.880905] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[336435.893680] nvme_tcp: copy    0                0      16363918892                0                0                0
[336435.905667] nvme_tcp: copy    1                0                0                0                0                0
[336435.917652] nvme_tcp: copy    2                0                0                0                0                0
[336435.929636] nvme_tcp: copy    3                0                0                0                0                0
[336435.941627] nvme_tcp: copy    4                0                0                0                0                0
[336435.953615] nvme_tcp: copy    5                0                0                0                0                0
[336435.965600] nvme_tcp: copy    6                0                0                0                0                0
[336435.977587] nvme_tcp: copy    7                0                0                0                0                0
[336435.989573] nvme_tcp: copy    8                0                0                0                0                0
[336436.001558] nvme_tcp: copy    9                0                0                0                0                0
[336436.013545] nvme_tcp: copy   10                0                0                0                0                0
[336436.025531] nvme_tcp: copy   11                0                0                0                0                0
[336436.037516] nvme_tcp: copy   12                0                0                0                0                0
[336436.049501] nvme_tcp: copy   13                0                0                0                0                0
[336436.061488] nvme_tcp: copy   14                0                0                0                0                0
[336436.073475] nvme_tcp: copy   15                0                0                0                0                0
[336436.085460] nvme_tcp: copy   16                0                0                0                0                0
[336436.097450] nvme_tcp: copy   17                0                0                0                0                0
[336436.109436] nvme_tcp: copy   18                0                0                0                0                0
[336436.121421] nvme_tcp: copy   19                0                0                0                0                0
[336436.133406] nvme_tcp: copy   20                0                0                0                0                0
[336436.145393] nvme_tcp: copy   21                0                0                0                0                0
[336436.157379] nvme_tcp: copy   22                0                0                0                0                0
[336436.169364] nvme_tcp: copy   23                0                0                0                0                0
[336436.181349] nvme_tcp: copy   24                0                0                0                0                0
[336436.193335] nvme_tcp: copy   25                0                0                0                0                0
[336436.205321] nvme_tcp: copy   26                0                0                0                0                0
[336436.217307] nvme_tcp: copy   27                0                0                0                0                0
[336436.229291] nvme_tcp: crc    0                0       6529966724                0                0                0
[336436.241178] nvme_tcp: crc    1                0                0                0                0                0
[336436.253065] nvme_tcp: crc    2                0                0                0                0                0
[336436.264953] nvme_tcp: crc    3                0                0                0                0                0
[336436.276840] nvme_tcp: crc    4                0                0                0                0                0
[336436.288727] nvme_tcp: crc    5                0                0                0                0                0
[336436.300606] nvme_tcp: crc    6                0                0                0                0                0
[336436.312494] nvme_tcp: crc    7                0                0                0                0                0
[336436.324381] nvme_tcp: crc    8                0                0                0                0                0
[336436.336268] nvme_tcp: crc    9                0                0                0                0                0
[336436.348155] nvme_tcp: crc   10                0                0                0                0                0
[336436.360042] nvme_tcp: crc   11                0                0                0                0                0
[336436.371929] nvme_tcp: crc   12                0                0                0                0                0
[336436.383821] nvme_tcp: crc   13                0                0                0                0                0
[336436.395708] nvme_tcp: crc   14                0                0                0                0                0
[336436.407595] nvme_tcp: crc   15                0                0                0                0                0
[336436.419482] nvme_tcp: crc   16                0                0                0                0                0
[336436.431369] nvme_tcp: crc   17                0                0                0                0                0
[336436.443257] nvme_tcp: crc   18                0                0                0                0                0
[336436.455144] nvme_tcp: crc   19                0                0                0                0                0
[336436.467031] nvme_tcp: crc   20                0                0                0                0                0
[336436.478908] nvme_tcp: crc   21                0                0                0                0                0
[336436.490794] nvme_tcp: crc   22                0                0                0                0                0
[336436.502683] nvme_tcp: crc   23                0                0                0                0                0
[336436.514580] nvme_tcp: crc   24                0                0                0                0                0
[336436.526469] nvme_tcp: crc   25                0                0                0                0                0
[336436.538357] nvme_tcp: crc   26                0                0                0                0                0
[336436.550244] nvme_tcp: crc   27                0                0                0                0                0
[336436.562133] nvme_tcp: tx_crc    0                0                0                0                0                0
[336436.574312] nvme_tcp: tx_crc    1                0                0                0                0                0
[336436.586490] nvme_tcp: tx_crc    2                0                0                0                0                0
[336436.598668] nvme_tcp: tx_crc    3                0                0                0                0                0
[336436.610839] nvme_tcp: tx_crc    4                0                0                0                0                0
[336436.623017] nvme_tcp: tx_crc    5                0                0                0                0                0
[336436.635195] nvme_tcp: tx_crc    6                0                0                0                0                0
[336436.647377] nvme_tcp: tx_crc    7                0                0                0                0                0
[336436.659555] nvme_tcp: tx_crc    8                0                0                0                0                0
[336436.671733] nvme_tcp: tx_crc    9                0                0                0                0                0
[336436.683911] nvme_tcp: tx_crc   10                0                0                0                0                0
[336436.696089] nvme_tcp: tx_crc   11                0                0                0                0                0
[336436.708268] nvme_tcp: tx_crc   12                0                0                0                0                0
[336436.720447] nvme_tcp: tx_crc   13                0                0                0                0                0
[336436.732625] nvme_tcp: tx_crc   14                0                0                0                0                0
[336436.744795] nvme_tcp: tx_crc   15                0                0                0                0                0
[336436.756974] nvme_tcp: tx_crc   16                0                0                0                0                0
[336436.769152] nvme_tcp: tx_crc   17                0                0                0                0                0
[336436.781330] nvme_tcp: tx_crc   18                0                0                0                0                0
[336436.793500] nvme_tcp: tx_crc   19                0                0                0                0                0
[336436.805679] nvme_tcp: tx_crc   20                0                0                0                0                0
[336436.817857] nvme_tcp: tx_crc   21                0                0                0                0                0
[336436.830035] nvme_tcp: tx_crc   22                0                0                0                0                0
[336436.842213] nvme_tcp: tx_crc   23                0                0                0                0                0
[336436.854392] nvme_tcp: tx_crc   24                0                0                0                0                0
[336436.876755] nvme_tcp: tx_crc   25                0                0                0                0                0
[336436.888933] nvme_tcp: tx_crc   26                0                0                0                0                0
[336436.901111] nvme_tcp: tx_crc   27                0                0                0                0                0
[336436.913289] nvme_tcp: tracing_off done
[336471.765672] tee (8126): drop_caches: 3
[336471.984889] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336526.931594] tee (9094): drop_caches: 3
[336527.176820] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336435.905667] nvme_tcp: copy    1                0                0                0                0                0
[336435.917652] nvme_tcp: copy    2                0                0                0                0                0
[336435.929636] nvme_tcp: copy    3                0                0                0                0                0
[336435.941627] nvme_tcp: copy    4                0                0                0                0                0
[336435.953615] nvme_tcp: copy    5                0                0                0                0                0
[336435.965600] nvme_tcp: copy    6                0                0                0                0                0
[336435.977587] nvme_tcp: copy    7                0                0                0                0                0
[336435.989573] nvme_tcp: copy    8                0                0                0                0                0
[336436.001558] nvme_tcp: copy    9                0                0                0                0                0
[336436.013545] nvme_tcp: copy   10                0                0                0                0                0
[336436.025531] nvme_tcp: copy   11                0                0                0                0                0
[336436.037516] nvme_tcp: copy   12                0                0                0                0                0
[336436.049501] nvme_tcp: copy   13                0                0                0                0                0
[336436.061488] nvme_tcp: copy   14                0                0                0                0                0
[336436.073475] nvme_tcp: copy   15                0                0                0                0                0
[336436.085460] nvme_tcp: copy   16                0                0                0                0                0
[336436.097450] nvme_tcp: copy   17                0                0                0                0                0
[336436.109436] nvme_tcp: copy   18                0                0                0                0                0
[336436.121421] nvme_tcp: copy   19                0                0                0                0                0
[336436.133406] nvme_tcp: copy   20                0                0                0                0                0
[336436.145393] nvme_tcp: copy   21                0                0                0                0                0
[336436.157379] nvme_tcp: copy   22                0                0                0                0                0
[336436.169364] nvme_tcp: copy   23                0                0                0                0                0
[336436.181349] nvme_tcp: copy   24                0                0                0                0                0
[336436.193335] nvme_tcp: copy   25                0                0                0                0                0
[336436.205321] nvme_tcp: copy   26                0                0                0                0                0
[336436.217307] nvme_tcp: copy   27                0                0                0                0                0
[336436.229291] nvme_tcp: crc    0                0       6529966724                0                0                0
[336436.241178] nvme_tcp: crc    1                0                0                0                0                0
[336436.253065] nvme_tcp: crc    2                0                0                0                0                0
[336436.264953] nvme_tcp: crc    3                0                0                0                0                0
[336436.276840] nvme_tcp: crc    4                0                0                0                0                0
[336436.288727] nvme_tcp: crc    5                0                0                0                0                0
[336436.300606] nvme_tcp: crc    6                0                0                0                0                0
[336436.312494] nvme_tcp: crc    7                0                0                0                0                0
[336436.324381] nvme_tcp: crc    8                0                0                0                0                0
[336436.336268] nvme_tcp: crc    9                0                0                0                0                0
[336436.348155] nvme_tcp: crc   10                0                0                0                0                0
[336436.360042] nvme_tcp: crc   11                0                0                0                0                0
[336436.371929] nvme_tcp: crc   12                0                0                0                0                0
[336436.383821] nvme_tcp: crc   13                0                0                0                0                0
[336436.395708] nvme_tcp: crc   14                0                0                0                0                0
[336436.407595] nvme_tcp: crc   15                0                0                0                0                0
[336436.419482] nvme_tcp: crc   16                0                0                0                0                0
[336436.431369] nvme_tcp: crc   17                0                0                0                0                0
[336436.443257] nvme_tcp: crc   18                0                0                0                0                0
[336436.455144] nvme_tcp: crc   19                0                0                0                0                0
[336436.467031] nvme_tcp: crc   20                0                0                0                0                0
[336436.478908] nvme_tcp: crc   21                0                0                0                0                0
[336436.490794] nvme_tcp: crc   22                0                0                0                0                0
[336436.502683] nvme_tcp: crc   23                0                0                0                0                0
[336436.514580] nvme_tcp: crc   24                0                0                0                0                0
[336436.526469] nvme_tcp: crc   25                0                0                0                0                0
[336436.538357] nvme_tcp: crc   26                0                0                0                0                0
[336436.550244] nvme_tcp: crc   27                0                0                0                0                0
[336436.562133] nvme_tcp: tx_crc    0                0                0                0                0                0
[336436.574312] nvme_tcp: tx_crc    1                0                0                0                0                0
[336436.586490] nvme_tcp: tx_crc    2                0                0                0                0                0
[336436.598668] nvme_tcp: tx_crc    3                0                0                0                0                0
[336436.610839] nvme_tcp: tx_crc    4                0                0                0                0                0
[336436.623017] nvme_tcp: tx_crc    5                0                0                0                0                0
[336436.635195] nvme_tcp: tx_crc    6                0                0                0                0                0
[336436.647377] nvme_tcp: tx_crc    7                0                0                0                0                0
[336436.659555] nvme_tcp: tx_crc    8                0                0                0                0                0
[336436.671733] nvme_tcp: tx_crc    9                0                0                0                0                0
[336436.683911] nvme_tcp: tx_crc   10                0                0                0                0                0
[336436.696089] nvme_tcp: tx_crc   11                0                0                0                0                0
[336436.708268] nvme_tcp: tx_crc   12                0                0                0                0                0
[336436.720447] nvme_tcp: tx_crc   13                0                0                0                0                0
[336436.732625] nvme_tcp: tx_crc   14                0                0                0                0                0
[336436.744795] nvme_tcp: tx_crc   15                0                0                0                0                0
[336436.756974] nvme_tcp: tx_crc   16                0                0                0                0                0
[336436.769152] nvme_tcp: tx_crc   17                0                0                0                0                0
[336436.781330] nvme_tcp: tx_crc   18                0                0                0                0                0
[336436.793500] nvme_tcp: tx_crc   19                0                0                0                0                0
[336436.805679] nvme_tcp: tx_crc   20                0                0                0                0                0
[336436.817857] nvme_tcp: tx_crc   21                0                0                0                0                0
[336436.830035] nvme_tcp: tx_crc   22                0                0                0                0                0
[336436.842213] nvme_tcp: tx_crc   23                0                0                0                0                0
[336436.854392] nvme_tcp: tx_crc   24                0                0                0                0                0
[336436.876755] nvme_tcp: tx_crc   25                0                0                0                0                0
[336436.888933] nvme_tcp: tx_crc   26                0                0                0                0                0
[336436.901111] nvme_tcp: tx_crc   27                0                0                0                0                0
[336436.913289] nvme_tcp: tracing_off done
[336471.765672] tee (8126): drop_caches: 3
[336471.984889] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336526.931594] tee (9094): drop_caches: 3
[336527.176820] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336582.006198] tee (10078): drop_caches: 3
[336582.267831] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336435.929636] nvme_tcp: copy    3                0                0                0                0                0
[336435.941627] nvme_tcp: copy    4                0                0                0                0                0
[336435.953615] nvme_tcp: copy    5                0                0                0                0                0
[336435.965600] nvme_tcp: copy    6                0                0                0                0                0
[336435.977587] nvme_tcp: copy    7                0                0                0                0                0
[336435.989573] nvme_tcp: copy    8                0                0                0                0                0
[336436.001558] nvme_tcp: copy    9                0                0                0                0                0
[336436.013545] nvme_tcp: copy   10                0                0                0                0                0
[336436.025531] nvme_tcp: copy   11                0                0                0                0                0
[336436.037516] nvme_tcp: copy   12                0                0                0                0                0
[336436.049501] nvme_tcp: copy   13                0                0                0                0                0
[336436.061488] nvme_tcp: copy   14                0                0                0                0                0
[336436.073475] nvme_tcp: copy   15                0                0                0                0                0
[336436.085460] nvme_tcp: copy   16                0                0                0                0                0
[336436.097450] nvme_tcp: copy   17                0                0                0                0                0
[336436.109436] nvme_tcp: copy   18                0                0                0                0                0
[336436.121421] nvme_tcp: copy   19                0                0                0                0                0
[336436.133406] nvme_tcp: copy   20                0                0                0                0                0
[336436.145393] nvme_tcp: copy   21                0                0                0                0                0
[336436.157379] nvme_tcp: copy   22                0                0                0                0                0
[336436.169364] nvme_tcp: copy   23                0                0                0                0                0
[336436.181349] nvme_tcp: copy   24                0                0                0                0                0
[336436.193335] nvme_tcp: copy   25                0                0                0                0                0
[336436.205321] nvme_tcp: copy   26                0                0                0                0                0
[336436.217307] nvme_tcp: copy   27                0                0                0                0                0
[336436.229291] nvme_tcp: crc    0                0       6529966724                0                0                0
[336436.241178] nvme_tcp: crc    1                0                0                0                0                0
[336436.253065] nvme_tcp: crc    2                0                0                0                0                0
[336436.264953] nvme_tcp: crc    3                0                0                0                0                0
[336436.276840] nvme_tcp: crc    4                0                0                0                0                0
[336436.288727] nvme_tcp: crc    5                0                0                0                0                0
[336436.300606] nvme_tcp: crc    6                0                0                0                0                0
[336436.312494] nvme_tcp: crc    7                0                0                0                0                0
[336436.324381] nvme_tcp: crc    8                0                0                0                0                0
[336436.336268] nvme_tcp: crc    9                0                0                0                0                0
[336436.348155] nvme_tcp: crc   10                0                0                0                0                0
[336436.360042] nvme_tcp: crc   11                0                0                0                0                0
[336436.371929] nvme_tcp: crc   12                0                0                0                0                0
[336436.383821] nvme_tcp: crc   13                0                0                0                0                0
[336436.395708] nvme_tcp: crc   14                0                0                0                0                0
[336436.407595] nvme_tcp: crc   15                0                0                0                0                0
[336436.419482] nvme_tcp: crc   16                0                0                0                0                0
[336436.431369] nvme_tcp: crc   17                0                0                0                0                0
[336436.443257] nvme_tcp: crc   18                0                0                0                0                0
[336436.455144] nvme_tcp: crc   19                0                0                0                0                0
[336436.467031] nvme_tcp: crc   20                0                0                0                0                0
[336436.478908] nvme_tcp: crc   21                0                0                0                0                0
[336436.490794] nvme_tcp: crc   22                0                0                0                0                0
[336436.502683] nvme_tcp: crc   23                0                0                0                0                0
[336436.514580] nvme_tcp: crc   24                0                0                0                0                0
[336436.526469] nvme_tcp: crc   25                0                0                0                0                0
[336436.538357] nvme_tcp: crc   26                0                0                0                0                0
[336436.550244] nvme_tcp: crc   27                0                0                0                0                0
[336436.562133] nvme_tcp: tx_crc    0                0                0                0                0                0
[336436.574312] nvme_tcp: tx_crc    1                0                0                0                0                0
[336436.586490] nvme_tcp: tx_crc    2                0                0                0                0                0
[336436.598668] nvme_tcp: tx_crc    3                0                0                0                0                0
[336436.610839] nvme_tcp: tx_crc    4                0                0                0                0                0
[336436.623017] nvme_tcp: tx_crc    5                0                0                0                0                0
[336436.635195] nvme_tcp: tx_crc    6                0                0                0                0                0
[336436.647377] nvme_tcp: tx_crc    7                0                0                0                0                0
[336436.659555] nvme_tcp: tx_crc    8                0                0                0                0                0
[336436.671733] nvme_tcp: tx_crc    9                0                0                0                0                0
[336436.683911] nvme_tcp: tx_crc   10                0                0                0                0                0
[336436.696089] nvme_tcp: tx_crc   11                0                0                0                0                0
[336436.708268] nvme_tcp: tx_crc   12                0                0                0                0                0
[336436.720447] nvme_tcp: tx_crc   13                0                0                0                0                0
[336436.732625] nvme_tcp: tx_crc   14                0                0                0                0                0
[336436.744795] nvme_tcp: tx_crc   15                0                0                0                0                0
[336436.756974] nvme_tcp: tx_crc   16                0                0                0                0                0
[336436.769152] nvme_tcp: tx_crc   17                0                0                0                0                0
[336436.781330] nvme_tcp: tx_crc   18                0                0                0                0                0
[336436.793500] nvme_tcp: tx_crc   19                0                0                0                0                0
[336436.805679] nvme_tcp: tx_crc   20                0                0                0                0                0
[336436.817857] nvme_tcp: tx_crc   21                0                0                0                0                0
[336436.830035] nvme_tcp: tx_crc   22                0                0                0                0                0
[336436.842213] nvme_tcp: tx_crc   23                0                0                0                0                0
[336436.854392] nvme_tcp: tx_crc   24                0                0                0                0                0
[336436.876755] nvme_tcp: tx_crc   25                0                0                0                0                0
[336436.888933] nvme_tcp: tx_crc   26                0                0                0                0                0
[336436.901111] nvme_tcp: tx_crc   27                0                0                0                0                0
[336436.913289] nvme_tcp: tracing_off done
[336471.765672] tee (8126): drop_caches: 3
[336471.984889] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336526.931594] tee (9094): drop_caches: 3
[336527.176820] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336582.006198] tee (10078): drop_caches: 3
[336582.267831] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336637.121797] tee (11122): drop_caches: 3
[336637.318774] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336435.953615] nvme_tcp: copy    5                0                0                0                0                0
[336435.965600] nvme_tcp: copy    6                0                0                0                0                0
[336435.977587] nvme_tcp: copy    7                0                0                0                0                0
[336435.989573] nvme_tcp: copy    8                0                0                0                0                0
[336436.001558] nvme_tcp: copy    9                0                0                0                0                0
[336436.013545] nvme_tcp: copy   10                0                0                0                0                0
[336436.025531] nvme_tcp: copy   11                0                0                0                0                0
[336436.037516] nvme_tcp: copy   12                0                0                0                0                0
[336436.049501] nvme_tcp: copy   13                0                0                0                0                0
[336436.061488] nvme_tcp: copy   14                0                0                0                0                0
[336436.073475] nvme_tcp: copy   15                0                0                0                0                0
[336436.085460] nvme_tcp: copy   16                0                0                0                0                0
[336436.097450] nvme_tcp: copy   17                0                0                0                0                0
[336436.109436] nvme_tcp: copy   18                0                0                0                0                0
[336436.121421] nvme_tcp: copy   19                0                0                0                0                0
[336436.133406] nvme_tcp: copy   20                0                0                0                0                0
[336436.145393] nvme_tcp: copy   21                0                0                0                0                0
[336436.157379] nvme_tcp: copy   22                0                0                0                0                0
[336436.169364] nvme_tcp: copy   23                0                0                0                0                0
[336436.181349] nvme_tcp: copy   24                0                0                0                0                0
[336436.193335] nvme_tcp: copy   25                0                0                0                0                0
[336436.205321] nvme_tcp: copy   26                0                0                0                0                0
[336436.217307] nvme_tcp: copy   27                0                0                0                0                0
[336436.229291] nvme_tcp: crc    0                0       6529966724                0                0                0
[336436.241178] nvme_tcp: crc    1                0                0                0                0                0
[336436.253065] nvme_tcp: crc    2                0                0                0                0                0
[336436.264953] nvme_tcp: crc    3                0                0                0                0                0
[336436.276840] nvme_tcp: crc    4                0                0                0                0                0
[336436.288727] nvme_tcp: crc    5                0                0                0                0                0
[336436.300606] nvme_tcp: crc    6                0                0                0                0                0
[336436.312494] nvme_tcp: crc    7                0                0                0                0                0
[336436.324381] nvme_tcp: crc    8                0                0                0                0                0
[336436.336268] nvme_tcp: crc    9                0                0                0                0                0
[336436.348155] nvme_tcp: crc   10                0                0                0                0                0
[336436.360042] nvme_tcp: crc   11                0                0                0                0                0
[336436.371929] nvme_tcp: crc   12                0                0                0                0                0
[336436.383821] nvme_tcp: crc   13                0                0                0                0                0
[336436.395708] nvme_tcp: crc   14                0                0                0                0                0
[336436.407595] nvme_tcp: crc   15                0                0                0                0                0
[336436.419482] nvme_tcp: crc   16                0                0                0                0                0
[336436.431369] nvme_tcp: crc   17                0                0                0                0                0
[336436.443257] nvme_tcp: crc   18                0                0                0                0                0
[336436.455144] nvme_tcp: crc   19                0                0                0                0                0
[336436.467031] nvme_tcp: crc   20                0                0                0                0                0
[336436.478908] nvme_tcp: crc   21                0                0                0                0                0
[336436.490794] nvme_tcp: crc   22                0                0                0                0                0
[336436.502683] nvme_tcp: crc   23                0                0                0                0                0
[336436.514580] nvme_tcp: crc   24                0                0                0                0                0
[336436.526469] nvme_tcp: crc   25                0                0                0                0                0
[336436.538357] nvme_tcp: crc   26                0                0                0                0                0
[336436.550244] nvme_tcp: crc   27                0                0                0                0                0
[336436.562133] nvme_tcp: tx_crc    0                0                0                0                0                0
[336436.574312] nvme_tcp: tx_crc    1                0                0                0                0                0
[336436.586490] nvme_tcp: tx_crc    2                0                0                0                0                0
[336436.598668] nvme_tcp: tx_crc    3                0                0                0                0                0
[336436.610839] nvme_tcp: tx_crc    4                0                0                0                0                0
[336436.623017] nvme_tcp: tx_crc    5                0                0                0                0                0
[336436.635195] nvme_tcp: tx_crc    6                0                0                0                0                0
[336436.647377] nvme_tcp: tx_crc    7                0                0                0                0                0
[336436.659555] nvme_tcp: tx_crc    8                0                0                0                0                0
[336436.671733] nvme_tcp: tx_crc    9                0                0                0                0                0
[336436.683911] nvme_tcp: tx_crc   10                0                0                0                0                0
[336436.696089] nvme_tcp: tx_crc   11                0                0                0                0                0
[336436.708268] nvme_tcp: tx_crc   12                0                0                0                0                0
[336436.720447] nvme_tcp: tx_crc   13                0                0                0                0                0
[336436.732625] nvme_tcp: tx_crc   14                0                0                0                0                0
[336436.744795] nvme_tcp: tx_crc   15                0                0                0                0                0
[336436.756974] nvme_tcp: tx_crc   16                0                0                0                0                0
[336436.769152] nvme_tcp: tx_crc   17                0                0                0                0                0
[336436.781330] nvme_tcp: tx_crc   18                0                0                0                0                0
[336436.793500] nvme_tcp: tx_crc   19                0                0                0                0                0
[336436.805679] nvme_tcp: tx_crc   20                0                0                0                0                0
[336436.817857] nvme_tcp: tx_crc   21                0                0                0                0                0
[336436.830035] nvme_tcp: tx_crc   22                0                0                0                0                0
[336436.842213] nvme_tcp: tx_crc   23                0                0                0                0                0
[336436.854392] nvme_tcp: tx_crc   24                0                0                0                0                0
[336436.876755] nvme_tcp: tx_crc   25                0                0                0                0                0
[336436.888933] nvme_tcp: tx_crc   26                0                0                0                0                0
[336436.901111] nvme_tcp: tx_crc   27                0                0                0                0                0
[336436.913289] nvme_tcp: tracing_off done
[336471.765672] tee (8126): drop_caches: 3
[336471.984889] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[336526.931594] tee (9094): drop_caches: 3
[336527.176820] Running randread depth 512 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
