[339009.395658] Running randread depth 8192 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[339028.522957] cpu_profile: calibration  average is 24 clock cycles, min is 24, max is 24 
[339048.555885] nvme_tcp: tracing_off  cpu            count              sum             sum2              min              max 
[339048.710956] nvme_tcp: copy   11                0                0                0                0                0
[339048.722941] nvme_tcp: copy   12                0                0                0                0                0
[339048.734927] nvme_tcp: copy   13                0                0                0                0                0
[339048.746913] nvme_tcp: copy   14                0                0                0                0                0
[339048.758899] nvme_tcp: copy   15                0                0                0                0                0
[339048.770885] nvme_tcp: copy   16                0                0                0                0                0
[339048.782870] nvme_tcp: copy   17                0                0                0                0                0
[339048.794856] nvme_tcp: copy   18                0                0                0                0                0
[339048.806842] nvme_tcp: copy   19                0                0                0                0                0
[339048.818826] nvme_tcp: copy   20                0                0                0                0                0
[339048.830813] nvme_tcp: copy   21                0                0                0                0                0
[339048.842798] nvme_tcp: copy   22                0                0                0                0                0
[339048.854783] nvme_tcp: copy   23                0                0                0                0                0
[339048.866769] nvme_tcp: copy   24                0                0                0                0                0
[339048.878755] nvme_tcp: copy   25                0                0                0                0                0
[339048.890741] nvme_tcp: copy   26                0                0                0                0                0
[339048.902726] nvme_tcp: copy   27                0                0                0                0                0
[339048.914711] nvme_tcp: crc    0                0       6532651812                0                0                0
[339048.926598] nvme_tcp: crc    1                0                0                0                0                0
[339048.938485] nvme_tcp: crc    2                0                0                0                0                0
[339048.950373] nvme_tcp: crc    3                0                0                0                0                0
[339048.962260] nvme_tcp: crc    4                0                0                0                0                0
[339048.974147] nvme_tcp: crc    5                0                0                0                0                0
[339048.986026] nvme_tcp: crc    6                0                0                0                0                0
[339048.997914] nvme_tcp: crc    7                0                0                0                0                0
[339049.009801] nvme_tcp: crc    8                0                0                0                0                0
[339049.021688] nvme_tcp: crc    9                0                0                0                0                0
[339049.033576] nvme_tcp: crc   10                0                0                0                0                0
[339049.045463] nvme_tcp: crc   11                0                0                0                0                0
[339049.057351] nvme_tcp: crc   12                0                0                0                0                0
[339049.069238] nvme_tcp: crc   13                0                0                0                0                0
[339049.081115] nvme_tcp: crc   14                0                0                0                0                0
[339049.092995] nvme_tcp: crc   15                0                0                0                0                0
[339049.104884] nvme_tcp: crc   16                0                0                0                0                0
[339049.116774] nvme_tcp: crc   17                0                0                0                0                0
[339049.128663] nvme_tcp: crc   18                0                0                0                0                0
[339049.140550] nvme_tcp: crc   19                0                0                0                0                0
[339049.152439] nvme_tcp: crc   20                0                0                0                0                0
[339049.164324] nvme_tcp: crc   21                0                0                0                0                0
[339049.176205] nvme_tcp: crc   22                0                0                0                0                0
[339049.188092] nvme_tcp: crc   23                0                0                0                0                0
[339049.199978] nvme_tcp: crc   24                0                0                0                0                0
[339049.211857] nvme_tcp: crc   25                0                0                0                0                0
[339049.223744] nvme_tcp: crc   26                0                0                0                0                0
[339049.235625] nvme_tcp: crc   27                0                0                0                0                0
[339049.247512] nvme_tcp: tx_crc    0                0                0                0                0                0
[339049.259690] nvme_tcp: tx_crc    1                0                0                0                0                0
[339049.271868] nvme_tcp: tx_crc    2                0                0                0                0                0
[339049.284046] nvme_tcp: tx_crc    3                0                0                0                0                0
[339049.296226] nvme_tcp: tx_crc    4                0                0                0                0                0
[339049.308404] nvme_tcp: tx_crc    5                0                0                0                0                0
[339049.320582] nvme_tcp: tx_crc    6                0                0                0                0                0
[339049.332761] nvme_tcp: tx_crc    7                0                0                0                0                0
[339049.344939] nvme_tcp: tx_crc    8                0                0                0                0                0
[339049.357118] nvme_tcp: tx_crc    9                0                0                0                0                0
[339049.369297] nvme_tcp: tx_crc   10                0                0                0                0                0
[339049.381476] nvme_tcp: tx_crc   11                0                0                0                0                0
[339049.393656] nvme_tcp: tx_crc   12                0                0                0                0                0
[339049.405833] nvme_tcp: tx_crc   13                0                0                0                0                0
[339049.418004] nvme_tcp: tx_crc   14                0                0                0                0                0
[339049.430183] nvme_tcp: tx_crc   15                0                0                0                0                0
[339049.442362] nvme_tcp: tx_crc   16                0                0                0                0                0
[339049.454541] nvme_tcp: tx_crc   17                0                0                0                0                0
[339049.466811] nvme_tcp: tx_crc   18                0                0                0                0                0
[339049.478989] nvme_tcp: tx_crc   19                0                0                0                0                0
[339049.491170] nvme_tcp: tx_crc   20                0                0                0                0                0
[339049.503348] nvme_tcp: tx_crc   21                0                0                0                0                0
[339049.515526] nvme_tcp: tx_crc   22                0                0                0                0                0
[339049.527697] nvme_tcp: tx_crc   23                0                0                0                0                0
[339049.539875] nvme_tcp: tx_crc   24                0                0                0                0                0
[339049.552053] nvme_tcp: tx_crc   25                0                0                0                0                0
[339049.564232] nvme_tcp: tx_crc   26                0                0                0                0                0
[339049.576410] nvme_tcp: tx_crc   27                0                0                0                0                0
[339049.588587] nvme_tcp: tracing_off done
[339084.485934] tee (24144): drop_caches: 3
[339084.664470] Running randread depth 8192 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[339139.527976] tee (25111): drop_caches: 3
[339139.755933] Running randread depth 8192 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[339048.591094] nvme_tcp: copy    1                0                0                0                0                0
[339048.603081] nvme_tcp: copy    2                0                0                0                0                0
[339048.615068] nvme_tcp: copy    3                0                0                0                0                0
[339048.627054] nvme_tcp: copy    4                0                0                0                0                0
[339048.639040] nvme_tcp: copy    5                0                0                0                0                0
[339048.651026] nvme_tcp: copy    6                0                0                0                0                0
[339048.663011] nvme_tcp: copy    7                0                0                0                0                0
[339048.674997] nvme_tcp: copy    8                0                0                0                0                0
[339048.686982] nvme_tcp: copy    9                0                0                0                0                0
[339048.698968] nvme_tcp: copy   10                0                0                0                0                0
[339048.710956] nvme_tcp: copy   11                0                0                0                0                0
[339048.722941] nvme_tcp: copy   12                0                0                0                0                0
[339048.734927] nvme_tcp: copy   13                0                0                0                0                0
[339048.746913] nvme_tcp: copy   14                0                0                0                0                0
[339048.758899] nvme_tcp: copy   15                0                0                0                0                0
[339048.770885] nvme_tcp: copy   16                0                0                0                0                0
[339048.782870] nvme_tcp: copy   17                0                0                0                0                0
[339048.794856] nvme_tcp: copy   18                0                0                0                0                0
[339048.806842] nvme_tcp: copy   19                0                0                0                0                0
[339048.818826] nvme_tcp: copy   20                0                0                0                0                0
[339048.830813] nvme_tcp: copy   21                0                0                0                0                0
[339048.842798] nvme_tcp: copy   22                0                0                0                0                0
[339048.854783] nvme_tcp: copy   23                0                0                0                0                0
[339048.866769] nvme_tcp: copy   24                0                0                0                0                0
[339048.878755] nvme_tcp: copy   25                0                0                0                0                0
[339048.890741] nvme_tcp: copy   26                0                0                0                0                0
[339048.902726] nvme_tcp: copy   27                0                0                0                0                0
[339048.914711] nvme_tcp: crc    0                0       6532651812                0                0                0
[339048.926598] nvme_tcp: crc    1                0                0                0                0                0
[339048.938485] nvme_tcp: crc    2                0                0                0                0                0
[339048.950373] nvme_tcp: crc    3                0                0                0                0                0
[339048.962260] nvme_tcp: crc    4                0                0                0                0                0
[339048.974147] nvme_tcp: crc    5                0                0                0                0                0
[339048.986026] nvme_tcp: crc    6                0                0                0                0                0
[339048.997914] nvme_tcp: crc    7                0                0                0                0                0
[339049.009801] nvme_tcp: crc    8                0                0                0                0                0
[339049.021688] nvme_tcp: crc    9                0                0                0                0                0
[339049.033576] nvme_tcp: crc   10                0                0                0                0                0
[339049.045463] nvme_tcp: crc   11                0                0                0                0                0
[339049.057351] nvme_tcp: crc   12                0                0                0                0                0
[339049.069238] nvme_tcp: crc   13                0                0                0                0                0
[339049.081115] nvme_tcp: crc   14                0                0                0                0                0
[339049.092995] nvme_tcp: crc   15                0                0                0                0                0
[339049.104884] nvme_tcp: crc   16                0                0                0                0                0
[339049.116774] nvme_tcp: crc   17                0                0                0                0                0
[339049.128663] nvme_tcp: crc   18                0                0                0                0                0
[339049.140550] nvme_tcp: crc   19                0                0                0                0                0
[339049.152439] nvme_tcp: crc   20                0                0                0                0                0
[339049.164324] nvme_tcp: crc   21                0                0                0                0                0
[339049.176205] nvme_tcp: crc   22                0                0                0                0                0
[339049.188092] nvme_tcp: crc   23                0                0                0                0                0
[339049.199978] nvme_tcp: crc   24                0                0                0                0                0
[339049.211857] nvme_tcp: crc   25                0                0                0                0                0
[339049.223744] nvme_tcp: crc   26                0                0                0                0                0
[339049.235625] nvme_tcp: crc   27                0                0                0                0                0
[339049.247512] nvme_tcp: tx_crc    0                0                0                0                0                0
[339049.259690] nvme_tcp: tx_crc    1                0                0                0                0                0
[339049.271868] nvme_tcp: tx_crc    2                0                0                0                0                0
[339049.284046] nvme_tcp: tx_crc    3                0                0                0                0                0
[339049.296226] nvme_tcp: tx_crc    4                0                0                0                0                0
[339049.308404] nvme_tcp: tx_crc    5                0                0                0                0                0
[339049.320582] nvme_tcp: tx_crc    6                0                0                0                0                0
[339049.332761] nvme_tcp: tx_crc    7                0                0                0                0                0
[339049.344939] nvme_tcp: tx_crc    8                0                0                0                0                0
[339049.357118] nvme_tcp: tx_crc    9                0                0                0                0                0
[339049.369297] nvme_tcp: tx_crc   10                0                0                0                0                0
[339049.381476] nvme_tcp: tx_crc   11                0                0                0                0                0
[339049.393656] nvme_tcp: tx_crc   12                0                0                0                0                0
[339049.405833] nvme_tcp: tx_crc   13                0                0                0                0                0
[339049.418004] nvme_tcp: tx_crc   14                0                0                0                0                0
[339049.430183] nvme_tcp: tx_crc   15                0                0                0                0                0
[339049.442362] nvme_tcp: tx_crc   16                0                0                0                0                0
[339049.454541] nvme_tcp: tx_crc   17                0                0                0                0                0
[339049.466811] nvme_tcp: tx_crc   18                0                0                0                0                0
[339049.478989] nvme_tcp: tx_crc   19                0                0                0                0                0
[339049.491170] nvme_tcp: tx_crc   20                0                0                0                0                0
[339049.503348] nvme_tcp: tx_crc   21                0                0                0                0                0
[339049.515526] nvme_tcp: tx_crc   22                0                0                0                0                0
[339049.527697] nvme_tcp: tx_crc   23                0                0                0                0                0
[339049.539875] nvme_tcp: tx_crc   24                0                0                0                0                0
[339049.552053] nvme_tcp: tx_crc   25                0                0                0                0                0
[339049.564232] nvme_tcp: tx_crc   26                0                0                0                0                0
[339049.576410] nvme_tcp: tx_crc   27                0                0                0                0                0
[339049.588587] nvme_tcp: tracing_off done
[339084.485934] tee (24144): drop_caches: 3
[339084.664470] Running randread depth 8192 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[339139.527976] tee (25111): drop_caches: 3
[339139.755933] Running randread depth 8192 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[339194.610895] tee (26081): drop_caches: 3
[339194.796985] Running randread depth 8192 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[339048.615068] nvme_tcp: copy    3                0                0                0                0                0
[339048.627054] nvme_tcp: copy    4                0                0                0                0                0
[339048.639040] nvme_tcp: copy    5                0                0                0                0                0
[339048.651026] nvme_tcp: copy    6                0                0                0                0                0
[339048.663011] nvme_tcp: copy    7                0                0                0                0                0
[339048.674997] nvme_tcp: copy    8                0                0                0                0                0
[339048.686982] nvme_tcp: copy    9                0                0                0                0                0
[339048.698968] nvme_tcp: copy   10                0                0                0                0                0
[339048.710956] nvme_tcp: copy   11                0                0                0                0                0
[339048.722941] nvme_tcp: copy   12                0                0                0                0                0
[339048.734927] nvme_tcp: copy   13                0                0                0                0                0
[339048.746913] nvme_tcp: copy   14                0                0                0                0                0
[339048.758899] nvme_tcp: copy   15                0                0                0                0                0
[339048.770885] nvme_tcp: copy   16                0                0                0                0                0
[339048.782870] nvme_tcp: copy   17                0                0                0                0                0
[339048.794856] nvme_tcp: copy   18                0                0                0                0                0
[339048.806842] nvme_tcp: copy   19                0                0                0                0                0
[339048.818826] nvme_tcp: copy   20                0                0                0                0                0
[339048.830813] nvme_tcp: copy   21                0                0                0                0                0
[339048.842798] nvme_tcp: copy   22                0                0                0                0                0
[339048.854783] nvme_tcp: copy   23                0                0                0                0                0
[339048.866769] nvme_tcp: copy   24                0                0                0                0                0
[339048.878755] nvme_tcp: copy   25                0                0                0                0                0
[339048.890741] nvme_tcp: copy   26                0                0                0                0                0
[339048.902726] nvme_tcp: copy   27                0                0                0                0                0
[339048.914711] nvme_tcp: crc    0                0       6532651812                0                0                0
[339048.926598] nvme_tcp: crc    1                0                0                0                0                0
[339048.938485] nvme_tcp: crc    2                0                0                0                0                0
[339048.950373] nvme_tcp: crc    3                0                0                0                0                0
[339048.962260] nvme_tcp: crc    4                0                0                0                0                0
[339048.974147] nvme_tcp: crc    5                0                0                0                0                0
[339048.986026] nvme_tcp: crc    6                0                0                0                0                0
[339048.997914] nvme_tcp: crc    7                0                0                0                0                0
[339049.009801] nvme_tcp: crc    8                0                0                0                0                0
[339049.021688] nvme_tcp: crc    9                0                0                0                0                0
[339049.033576] nvme_tcp: crc   10                0                0                0                0                0
[339049.045463] nvme_tcp: crc   11                0                0                0                0                0
[339049.057351] nvme_tcp: crc   12                0                0                0                0                0
[339049.069238] nvme_tcp: crc   13                0                0                0                0                0
[339049.081115] nvme_tcp: crc   14                0                0                0                0                0
[339049.092995] nvme_tcp: crc   15                0                0                0                0                0
[339049.104884] nvme_tcp: crc   16                0                0                0                0                0
[339049.116774] nvme_tcp: crc   17                0                0                0                0                0
[339049.128663] nvme_tcp: crc   18                0                0                0                0                0
[339049.140550] nvme_tcp: crc   19                0                0                0                0                0
[339049.152439] nvme_tcp: crc   20                0                0                0                0                0
[339049.164324] nvme_tcp: crc   21                0                0                0                0                0
[339049.176205] nvme_tcp: crc   22                0                0                0                0                0
[339049.188092] nvme_tcp: crc   23                0                0                0                0                0
[339049.199978] nvme_tcp: crc   24                0                0                0                0                0
[339049.211857] nvme_tcp: crc   25                0                0                0                0                0
[339049.223744] nvme_tcp: crc   26                0                0                0                0                0
[339049.235625] nvme_tcp: crc   27                0                0                0                0                0
[339049.247512] nvme_tcp: tx_crc    0                0                0                0                0                0
[339049.259690] nvme_tcp: tx_crc    1                0                0                0                0                0
[339049.271868] nvme_tcp: tx_crc    2                0                0                0                0                0
[339049.284046] nvme_tcp: tx_crc    3                0                0                0                0                0
[339049.296226] nvme_tcp: tx_crc    4                0                0                0                0                0
[339049.308404] nvme_tcp: tx_crc    5                0                0                0                0                0
[339049.320582] nvme_tcp: tx_crc    6                0                0                0                0                0
[339049.332761] nvme_tcp: tx_crc    7                0                0                0                0                0
[339049.344939] nvme_tcp: tx_crc    8                0                0                0                0                0
[339049.357118] nvme_tcp: tx_crc    9                0                0                0                0                0
[339049.369297] nvme_tcp: tx_crc   10                0                0                0                0                0
[339049.381476] nvme_tcp: tx_crc   11                0                0                0                0                0
[339049.393656] nvme_tcp: tx_crc   12                0                0                0                0                0
[339049.405833] nvme_tcp: tx_crc   13                0                0                0                0                0
[339049.418004] nvme_tcp: tx_crc   14                0                0                0                0                0
[339049.430183] nvme_tcp: tx_crc   15                0                0                0                0                0
[339049.442362] nvme_tcp: tx_crc   16                0                0                0                0                0
[339049.454541] nvme_tcp: tx_crc   17                0                0                0                0                0
[339049.466811] nvme_tcp: tx_crc   18                0                0                0                0                0
[339049.478989] nvme_tcp: tx_crc   19                0                0                0                0                0
[339049.491170] nvme_tcp: tx_crc   20                0                0                0                0                0
[339049.503348] nvme_tcp: tx_crc   21                0                0                0                0                0
[339049.515526] nvme_tcp: tx_crc   22                0                0                0                0                0
[339049.527697] nvme_tcp: tx_crc   23                0                0                0                0                0
[339049.539875] nvme_tcp: tx_crc   24                0                0                0                0                0
[339049.552053] nvme_tcp: tx_crc   25                0                0                0                0                0
[339049.564232] nvme_tcp: tx_crc   26                0                0                0                0                0
[339049.576410] nvme_tcp: tx_crc   27                0                0                0                0                0
[339049.588587] nvme_tcp: tracing_off done
[339084.485934] tee (24144): drop_caches: 3
[339084.664470] Running randread depth 8192 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[339139.527976] tee (25111): drop_caches: 3
[339139.755933] Running randread depth 8192 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[339194.610895] tee (26081): drop_caches: 3
[339194.796985] Running randread depth 8192 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[339249.668356] tee (27061): drop_caches: 3
[339249.912937] Running randread depth 8192 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[339048.639040] nvme_tcp: copy    5                0                0                0                0                0
[339048.651026] nvme_tcp: copy    6                0                0                0                0                0
[339048.663011] nvme_tcp: copy    7                0                0                0                0                0
[339048.674997] nvme_tcp: copy    8                0                0                0                0                0
[339048.686982] nvme_tcp: copy    9                0                0                0                0                0
[339048.698968] nvme_tcp: copy   10                0                0                0                0                0
[339048.710956] nvme_tcp: copy   11                0                0                0                0                0
[339048.722941] nvme_tcp: copy   12                0                0                0                0                0
[339048.734927] nvme_tcp: copy   13                0                0                0                0                0
[339048.746913] nvme_tcp: copy   14                0                0                0                0                0
[339048.758899] nvme_tcp: copy   15                0                0                0                0                0
[339048.770885] nvme_tcp: copy   16                0                0                0                0                0
[339048.782870] nvme_tcp: copy   17                0                0                0                0                0
[339048.794856] nvme_tcp: copy   18                0                0                0                0                0
[339048.806842] nvme_tcp: copy   19                0                0                0                0                0
[339048.818826] nvme_tcp: copy   20                0                0                0                0                0
[339048.830813] nvme_tcp: copy   21                0                0                0                0                0
[339048.842798] nvme_tcp: copy   22                0                0                0                0                0
[339048.854783] nvme_tcp: copy   23                0                0                0                0                0
[339048.866769] nvme_tcp: copy   24                0                0                0                0                0
[339048.878755] nvme_tcp: copy   25                0                0                0                0                0
[339048.890741] nvme_tcp: copy   26                0                0                0                0                0
[339048.902726] nvme_tcp: copy   27                0                0                0                0                0
[339048.914711] nvme_tcp: crc    0                0       6532651812                0                0                0
[339048.926598] nvme_tcp: crc    1                0                0                0                0                0
[339048.938485] nvme_tcp: crc    2                0                0                0                0                0
[339048.950373] nvme_tcp: crc    3                0                0                0                0                0
[339048.962260] nvme_tcp: crc    4                0                0                0                0                0
[339048.974147] nvme_tcp: crc    5                0                0                0                0                0
[339048.986026] nvme_tcp: crc    6                0                0                0                0                0
[339048.997914] nvme_tcp: crc    7                0                0                0                0                0
[339049.009801] nvme_tcp: crc    8                0                0                0                0                0
[339049.021688] nvme_tcp: crc    9                0                0                0                0                0
[339049.033576] nvme_tcp: crc   10                0                0                0                0                0
[339049.045463] nvme_tcp: crc   11                0                0                0                0                0
[339049.057351] nvme_tcp: crc   12                0                0                0                0                0
[339049.069238] nvme_tcp: crc   13                0                0                0                0                0
[339049.081115] nvme_tcp: crc   14                0                0                0                0                0
[339049.092995] nvme_tcp: crc   15                0                0                0                0                0
[339049.104884] nvme_tcp: crc   16                0                0                0                0                0
[339049.116774] nvme_tcp: crc   17                0                0                0                0                0
[339049.128663] nvme_tcp: crc   18                0                0                0                0                0
[339049.140550] nvme_tcp: crc   19                0                0                0                0                0
[339049.152439] nvme_tcp: crc   20                0                0                0                0                0
[339049.164324] nvme_tcp: crc   21                0                0                0                0                0
[339049.176205] nvme_tcp: crc   22                0                0                0                0                0
[339049.188092] nvme_tcp: crc   23                0                0                0                0                0
[339049.199978] nvme_tcp: crc   24                0                0                0                0                0
[339049.211857] nvme_tcp: crc   25                0                0                0                0                0
[339049.223744] nvme_tcp: crc   26                0                0                0                0                0
[339049.235625] nvme_tcp: crc   27                0                0                0                0                0
[339049.247512] nvme_tcp: tx_crc    0                0                0                0                0                0
[339049.259690] nvme_tcp: tx_crc    1                0                0                0                0                0
[339049.271868] nvme_tcp: tx_crc    2                0                0                0                0                0
[339049.284046] nvme_tcp: tx_crc    3                0                0                0                0                0
[339049.296226] nvme_tcp: tx_crc    4                0                0                0                0                0
[339049.308404] nvme_tcp: tx_crc    5                0                0                0                0                0
[339049.320582] nvme_tcp: tx_crc    6                0                0                0                0                0
[339049.332761] nvme_tcp: tx_crc    7                0                0                0                0                0
[339049.344939] nvme_tcp: tx_crc    8                0                0                0                0                0
[339049.357118] nvme_tcp: tx_crc    9                0                0                0                0                0
[339049.369297] nvme_tcp: tx_crc   10                0                0                0                0                0
[339049.381476] nvme_tcp: tx_crc   11                0                0                0                0                0
[339049.393656] nvme_tcp: tx_crc   12                0                0                0                0                0
[339049.405833] nvme_tcp: tx_crc   13                0                0                0                0                0
[339049.418004] nvme_tcp: tx_crc   14                0                0                0                0                0
[339049.430183] nvme_tcp: tx_crc   15                0                0                0                0                0
[339049.442362] nvme_tcp: tx_crc   16                0                0                0                0                0
[339049.454541] nvme_tcp: tx_crc   17                0                0                0                0                0
[339049.466811] nvme_tcp: tx_crc   18                0                0                0                0                0
[339049.478989] nvme_tcp: tx_crc   19                0                0                0                0                0
[339049.491170] nvme_tcp: tx_crc   20                0                0                0                0                0
[339049.503348] nvme_tcp: tx_crc   21                0                0                0                0                0
[339049.515526] nvme_tcp: tx_crc   22                0                0                0                0                0
[339049.527697] nvme_tcp: tx_crc   23                0                0                0                0                0
[339049.539875] nvme_tcp: tx_crc   24                0                0                0                0                0
[339049.552053] nvme_tcp: tx_crc   25                0                0                0                0                0
[339049.564232] nvme_tcp: tx_crc   26                0                0                0                0                0
[339049.576410] nvme_tcp: tx_crc   27                0                0                0                0                0
[339049.588587] nvme_tcp: tracing_off done
[339084.485934] tee (24144): drop_caches: 3
[339084.664470] Running randread depth 8192 jobs 1 size 1024K zc 0 remote zc 0 zcrc 0
[339139.527976] tee (25111): drop_caches: 3
